m,Geographic area,Indicator,Sex,Series Name,Series Year,TIME_PERIOD,Unit of measure,STD_ERR,INTERVAL
204423,Kenya,Neonatal deaths,Total,UN IGME estimate,2020,2018-06,Number of deaths,,1
204424,Kenya,Neonatal deaths,Total,UN IGME estimate,2020,2019-06,Number of deaths,,1
204425,Kenya,Infant deaths,Female,UN IGME estimate,2020,1953-06,Number of deaths,,1
204426,Kenya,Infant deaths,Female,UN IGME estimate,2020,1954-06,Number of deaths,,1
204427,Kenya,Infant deaths,Female,UN IGME estimate,2020,1955-06,Number of deaths,,1
204428,Kenya,Infant deaths,Female,UN IGME estimate,2020,1956-06,Number of deaths,,1
204429,Kenya,Infant deaths,Female,UN IGME estimate,2020,1957-06,Number of deaths,,1
204430,Kenya,Infant deaths,Female,UN IGME estimate,2020,1958-06,Number of deaths,,1
204431,Kenya,Infant deaths,Female,UN IGME estimate,2020,1959-06,Number of deaths,,1
204432,Kenya,Infant deaths,Female,UN IGME estimate,2020,1960-06,Number of deaths,,1
204433,Kenya,Infant deaths,Female,UN IGME estimate,2020,1961-06,Number of deaths,,1
204434,Kenya,Infant deaths,Female,UN IGME estimate,2020,1962-06,Number of deaths,,1
204435,Kenya,Infant deaths,Female,UN IGME estimate,2020,1963-06,Number of deaths,,1
204436,Kenya,Infant deaths,Female,UN IGME estimate,2020,1964-06,Number of deaths,,1
204437,Kenya,Infant deaths,Female,UN IGME estimate,2020,1965-06,Number of deaths,,1
204438,Kenya,Infant deaths,Female,UN IGME estimate,2020,1966-06,Number of deaths,,1
204439,Kenya,Infant deaths,Female,UN IGME estimate,2020,1967-06,Number of deaths,,1
204440,Kenya,Infant deaths,Female,UN IGME estimate,2020,1968-06,Number of deaths,,1
204441,Kenya,Infant deaths,Female,UN IGME estimate,2020,1969-06,Number of deaths,,1
204442,Kenya,Infant deaths,Female,UN IGME estimate,2020,1970-06,Number of deaths,,1
204443,Kenya,Infant deaths,Female,UN IGME estimate,2020,1971-06,Number of deaths,,1
204444,Kenya,Infant deaths,Female,UN IGME estimate,2020,1972-06,Number of deaths,,1
204445,Kenya,Infant deaths,Female,UN IGME estimate,2020,1973-06,Number of deaths,,1
204446,Kenya,Infant deaths,Female,UN IGME estimate,2020,1974-06,Number of deaths,,1
204447,Kenya,Infant deaths,Female,UN IGME estimate,2020,1975-06,Number of deaths,,1
204448,Kenya,Infant deaths,Female,UN IGME estimate,2020,1976-06,Number of deaths,,1
204449,Kenya,Infant deaths,Female,UN IGME estimate,2020,1977-06,Number of deaths,,1
204450,Kenya,Infant deaths,Female,UN IGME estimate,2020,1978-06,Number of deaths,,1
204451,Kenya,Infant deaths,Female,UN IGME estimate,2020,1979-06,Number of deaths,,1
204452,Kenya,Infant deaths,Female,UN IGME estimate,2020,1980-06,Number of deaths,,1
204453,Kenya,Infant deaths,Female,UN IGME estimate,2020,1981-06,Number of deaths,,1
204454,Kenya,Infant deaths,Female,UN IGME estimate,2020,1982-06,Number of deaths,,1
204455,Kenya,Infant deaths,Female,UN IGME estimate,2020,1983-06,Number of deaths,,1
204456,Kenya,Infant deaths,Female,UN IGME estimate,2020,1984-06,Number of deaths,,1
204457,Kenya,Infant deaths,Female,UN IGME estimate,2020,1985-06,Number of deaths,,1
204458,Kenya,Infant deaths,Female,UN IGME estimate,2020,1986-06,Number of deaths,,1
204459,Kenya,Infant deaths,Female,UN IGME estimate,2020,1987-06,Number of deaths,,1
204460,Kenya,Infant deaths,Female,UN IGME estimate,2020,1988-06,Number of deaths,,1
204461,Kenya,Infant deaths,Female,UN IGME estimate,2020,1989-06,Number of deaths,,1
204462,Kenya,Infant deaths,Female,UN IGME estimate,2020,1990-06,Number of deaths,,1
204463,Kenya,Infant deaths,Female,UN IGME estimate,2020,1991-06,Number of deaths,,1
204464,Kenya,Infant deaths,Female,UN IGME estimate,2020,1992-06,Number of deaths,,1
204465,Kenya,Infant deaths,Female,UN IGME estimate,2020,1993-06,Number of deaths,,1
204466,Kenya,Infant deaths,Female,UN IGME estimate,2020,1994-06,Number of deaths,,1
204467,Kenya,Infant deaths,Female,UN IGME estimate,2020,1995-06,Number of deaths,,1
204468,Kenya,Infant deaths,Female,UN IGME estimate,2020,1996-06,Number of deaths,,1
204469,Kenya,Infant deaths,Female,UN IGME estimate,2020,1997-06,Number of deaths,,1
204470,Kenya,Infant deaths,Female,UN IGME estimate,2020,1998-06,Number of deaths,,1
204471,Kenya,Infant deaths,Female,UN IGME estimate,2020,1999-06,Number of deaths,,1
204472,Kenya,Infant deaths,Female,UN IGME estimate,2020,2000-06,Number of deaths,,1
204473,Kenya,Infant deaths,Female,UN IGME estimate,2020,2001-06,Number of deaths,,1
204474,Kenya,Infant deaths,Female,UN IGME estimate,2020,2002-06,Number of deaths,,1
204475,Kenya,Infant deaths,Female,UN IGME estimate,2020,2003-06,Number of deaths,,1
204476,Kenya,Infant deaths,Female,UN IGME estimate,2020,2004-06,Number of deaths,,1
204477,Kenya,Infant deaths,Female,UN IGME estimate,2020,2005-06,Number of deaths,,1
204478,Kenya,Infant deaths,Female,UN IGME estimate,2020,2006-06,Number of deaths,,1
204479,Kenya,Infant deaths,Female,UN IGME estimate,2020,2007-06,Number of deaths,,1
204480,Kenya,Infant deaths,Female,UN IGME estimate,2020,2008-06,Number of deaths,,1
204481,Kenya,Infant deaths,Female,UN IGME estimate,2020,2009-06,Number of deaths,,1
204482,Kenya,Infant deaths,Female,UN IGME estimate,2020,2010-06,Number of deaths,,1
204483,Kenya,Infant deaths,Female,UN IGME estimate,2020,2011-06,Number of deaths,,1
204484,Kenya,Infant deaths,Female,UN IGME estimate,2020,2012-06,Number of deaths,,1
204485,Kenya,Infant deaths,Female,UN IGME estimate,2020,2013-06,Number of deaths,,1
204486,Kenya,Infant deaths,Female,UN IGME estimate,2020,2014-06,Number of deaths,,1
204487,Kenya,Infant deaths,Female,UN IGME estimate,2020,2015-06,Number of deaths,,1
204488,Kenya,Infant deaths,Female,UN IGME estimate,2020,2016-06,Number of deaths,,1
204489,Kenya,Infant deaths,Female,UN IGME estimate,2020,2017-06,Number of deaths,,1
204490,Kenya,Infant deaths,Female,UN IGME estimate,2020,2018-06,Number of deaths,,1
204491,Kenya,Infant deaths,Female,UN IGME estimate,2020,2019-06,Number of deaths,,1
204492,Kenya,Infant deaths,Male,UN IGME estimate,2020,1953-06,Number of deaths,,1
204493,Kenya,Infant deaths,Male,UN IGME estimate,2020,1954-06,Number of deaths,,1
204494,Kenya,Infant deaths,Male,UN IGME estimate,2020,1955-06,Number of deaths,,1
204495,Kenya,Infant deaths,Male,UN IGME estimate,2020,1956-06,Number of deaths,,1
204496,Kenya,Infant deaths,Male,UN IGME estimate,2020,1957-06,Number of deaths,,1
204497,Kenya,Infant deaths,Male,UN IGME estimate,2020,1958-06,Number of deaths,,1
204498,Kenya,Infant deaths,Male,UN IGME estimate,2020,1959-06,Number of deaths,,1
204499,Kenya,Infant deaths,Male,UN IGME estimate,2020,1960-06,Number of deaths,,1
204500,Kenya,Infant deaths,Male,UN IGME estimate,2020,1961-06,Number of deaths,,1
204501,Kenya,Infant deaths,Male,UN IGME estimate,2020,1962-06,Number of deaths,,1
204502,Kenya,Infant deaths,Male,UN IGME estimate,2020,1963-06,Number of deaths,,1
204503,Kenya,Infant deaths,Male,UN IGME estimate,2020,1964-06,Number of deaths,,1
204504,Kenya,Infant deaths,Male,UN IGME estimate,2020,1965-06,Number of deaths,,1
204505,Kenya,Infant deaths,Male,UN IGME estimate,2020,1966-06,Number of deaths,,1
204506,Kenya,Infant deaths,Male,UN IGME estimate,2020,1967-06,Number of deaths,,1
204507,Kenya,Infant deaths,Male,UN IGME estimate,2020,1968-06,Number of deaths,,1
204508,Kenya,Infant deaths,Male,UN IGME estimate,2020,1969-06,Number of deaths,,1
204509,Kenya,Infant deaths,Male,UN IGME estimate,2020,1970-06,Number of deaths,,1
204510,Kenya,Infant deaths,Male,UN IGME estimate,2020,1971-06,Number of deaths,,1
204511,Kenya,Infant deaths,Male,UN IGME estimate,2020,1972-06,Number of deaths,,1
204512,Kenya,Infant deaths,Male,UN IGME estimate,2020,1973-06,Number of deaths,,1
204513,Kenya,Infant deaths,Male,UN IGME estimate,2020,1974-06,Number of deaths,,1
204514,Kenya,Infant deaths,Male,UN IGME estimate,2020,1975-06,Number of deaths,,1
204515,Kenya,Infant deaths,Male,UN IGME estimate,2020,1976-06,Number of deaths,,1
204516,Kenya,Infant deaths,Male,UN IGME estimate,2020,1977-06,Number of deaths,,1
204517,Kenya,Infant deaths,Male,UN IGME estimate,2020,1978-06,Number of deaths,,1
204518,Kenya,Infant deaths,Male,UN IGME estimate,2020,1979-06,Number of deaths,,1
204519,Kenya,Infant deaths,Male,UN IGME estimate,2020,1980-06,Number of deaths,,1
204520,Kenya,Infant deaths,Male,UN IGME estimate,2020,1981-06,Number of deaths,,1
204521,Kenya,Infant deaths,Male,UN IGME estimate,2020,1982-06,Number of deaths,,1
204522,Kenya,Infant deaths,Male,UN IGME estimate,2020,1983-06,Number of deaths,,1
204523,Kenya,Infant deaths,Male,UN IGME estimate,2020,1984-06,Number of deaths,,1
204524,Kenya,Infant deaths,Male,UN IGME estimate,2020,1985-06,Number of deaths,,1
204525,Kenya,Infant deaths,Male,UN IGME estimate,2020,1986-06,Number of deaths,,1
204526,Kenya,Infant deaths,Male,UN IGME estimate,2020,1987-06,Number of deaths,,1
204527,Kenya,Infant deaths,Male,UN IGME estimate,2020,1988-06,Number of deaths,,1
204528,Kenya,Infant deaths,Male,UN IGME estimate,2020,1989-06,Number of deaths,,1
204529,Kenya,Infant deaths,Male,UN IGME estimate,2020,1990-06,Number of deaths,,1
204530,Kenya,Infant deaths,Male,UN IGME estimate,2020,1991-06,Number of deaths,,1
204531,Kenya,Infant deaths,Male,UN IGME estimate,2020,1992-06,Number of deaths,,1
204532,Kenya,Infant deaths,Male,UN IGME estimate,2020,1993-06,Number of deaths,,1
204533,Kenya,Infant deaths,Male,UN IGME estimate,2020,1994-06,Number of deaths,,1
204534,Kenya,Infant deaths,Male,UN IGME estimate,2020,1995-06,Number of deaths,,1
204535,Kenya,Infant deaths,Male,UN IGME estimate,2020,1996-06,Number of deaths,,1
204536,Kenya,Infant deaths,Male,UN IGME estimate,2020,1997-06,Number of deaths,,1
204537,Kenya,Infant deaths,Male,UN IGME estimate,2020,1998-06,Number of deaths,,1
204538,Kenya,Infant deaths,Male,UN IGME estimate,2020,1999-06,Number of deaths,,1
204539,Kenya,Infant deaths,Male,UN IGME estimate,2020,2000-06,Number of deaths,,1
204540,Kenya,Infant deaths,Male,UN IGME estimate,2020,2001-06,Number of deaths,,1
204541,Kenya,Infant deaths,Male,UN IGME estimate,2020,2002-06,Number of deaths,,1
204542,Kenya,Infant deaths,Male,UN IGME estimate,2020,2003-06,Number of deaths,,1
204543,Kenya,Infant deaths,Male,UN IGME estimate,2020,2004-06,Number of deaths,,1
204544,Kenya,Infant deaths,Male,UN IGME estimate,2020,2005-06,Number of deaths,,1
204545,Kenya,Infant deaths,Male,UN IGME estimate,2020,2006-06,Number of deaths,,1
204546,Kenya,Infant deaths,Male,UN IGME estimate,2020,2007-06,Number of deaths,,1
204547,Kenya,Infant deaths,Male,UN IGME estimate,2020,2008-06,Number of deaths,,1
204548,Kenya,Infant deaths,Male,UN IGME estimate,2020,2009-06,Number of deaths,,1
204549,Kenya,Infant deaths,Male,UN IGME estimate,2020,2010-06,Number of deaths,,1
204550,Kenya,Infant deaths,Male,UN IGME estimate,2020,2011-06,Number of deaths,,1
204551,Kenya,Infant deaths,Male,UN IGME estimate,2020,2012-06,Number of deaths,,1
204552,Kenya,Infant deaths,Male,UN IGME estimate,2020,2013-06,Number of deaths,,1
204553,Kenya,Infant deaths,Male,UN IGME estimate,2020,2014-06,Number of deaths,,1
204554,Kenya,Infant deaths,Male,UN IGME estimate,2020,2015-06,Number of deaths,,1
204555,Kenya,Infant deaths,Male,UN IGME estimate,2020,2016-06,Number of deaths,,1
204556,Kenya,Infant deaths,Male,UN IGME estimate,2020,2017-06,Number of deaths,,1
204557,Kenya,Infant deaths,Male,UN IGME estimate,2020,2018-06,Number of deaths,,1
204558,Kenya,Infant deaths,Male,UN IGME estimate,2020,2019-06,Number of deaths,,1
204559,Kenya,Infant deaths,Total,UN IGME estimate,2020,1953-06,Number of deaths,,1
204560,Kenya,Infant deaths,Total,UN IGME estimate,2020,1954-06,Number of deaths,,1
204561,Kenya,Infant deaths,Total,UN IGME estimate,2020,1955-06,Number of deaths,,1
204562,Kenya,Infant deaths,Total,UN IGME estimate,2020,1956-06,Number of deaths,,1
204563,Kenya,Infant deaths,Total,UN IGME estimate,2020,1957-06,Number of deaths,,1
204564,Kenya,Infant deaths,Total,UN IGME estimate,2020,1958-06,Number of deaths,,1
204565,Kenya,Infant deaths,Total,UN IGME estimate,2020,1959-06,Number of deaths,,1
204566,Kenya,Infant deaths,Total,UN IGME estimate,2020,1960-06,Number of deaths,,1
204567,Kenya,Infant deaths,Total,UN IGME estimate,2020,1961-06,Number of deaths,,1
204568,Kenya,Infant deaths,Total,UN IGME estimate,2020,1962-06,Number of deaths,,1
204569,Kenya,Infant deaths,Total,UN IGME estimate,2020,1963-06,Number of deaths,,1
204570,Kenya,Infant deaths,Total,UN IGME estimate,2020,1964-06,Number of deaths,,1
204571,Kenya,Infant deaths,Total,UN IGME estimate,2020,1965-06,Number of deaths,,1
204572,Kenya,Infant deaths,Total,UN IGME estimate,2020,1966-06,Number of deaths,,1
204573,Kenya,Infant deaths,Total,UN IGME estimate,2020,1967-06,Number of deaths,,1
204574,Kenya,Infant deaths,Total,UN IGME estimate,2020,1968-06,Number of deaths,,1
204575,Kenya,Infant deaths,Total,UN IGME estimate,2020,1969-06,Number of deaths,,1
204576,Kenya,Infant deaths,Total,UN IGME estimate,2020,1970-06,Number of deaths,,1
204577,Kenya,Infant deaths,Total,UN IGME estimate,2020,1971-06,Number of deaths,,1
204578,Kenya,Infant deaths,Total,UN IGME estimate,2020,1972-06,Number of deaths,,1
204579,Kenya,Infant deaths,Total,UN IGME estimate,2020,1973-06,Number of deaths,,1
204580,Kenya,Infant deaths,Total,UN IGME estimate,2020,1974-06,Number of deaths,,1
204581,Kenya,Infant deaths,Total,UN IGME estimate,2020,1975-06,Number of deaths,,1
204582,Kenya,Infant deaths,Total,UN IGME estimate,2020,1976-06,Number of deaths,,1
204583,Kenya,Infant deaths,Total,UN IGME estimate,2020,1977-06,Number of deaths,,1
204584,Kenya,Infant deaths,Total,UN IGME estimate,2020,1978-06,Number of deaths,,1
204585,Kenya,Infant deaths,Total,UN IGME estimate,2020,1979-06,Number of deaths,,1
204586,Kenya,Infant deaths,Total,UN IGME estimate,2020,1980-06,Number of deaths,,1
204587,Kenya,Infant deaths,Total,UN IGME estimate,2020,1981-06,Number of deaths,,1
204588,Kenya,Infant deaths,Total,UN IGME estimate,2020,1982-06,Number of deaths,,1
204589,Kenya,Infant deaths,Total,UN IGME estimate,2020,1983-06,Number of deaths,,1
204590,Kenya,Infant deaths,Total,UN IGME estimate,2020,1984-06,Number of deaths,,1
204591,Kenya,Infant deaths,Total,UN IGME estimate,2020,1985-06,Number of deaths,,1
204592,Kenya,Infant deaths,Total,UN IGME estimate,2020,1986-06,Number of deaths,,1
204593,Kenya,Infant deaths,Total,UN IGME estimate,2020,1987-06,Number of deaths,,1
204594,Kenya,Infant deaths,Total,UN IGME estimate,2020,1988-06,Number of deaths,,1
204595,Kenya,Infant deaths,Total,UN IGME estimate,2020,1989-06,Number of deaths,,1
204596,Kenya,Infant deaths,Total,UN IGME estimate,2020,1990-06,Number of deaths,,1
204597,Kenya,Infant deaths,Total,UN IGME estimate,2020,1991-06,Number of deaths,,1
204598,Kenya,Infant deaths,Total,UN IGME estimate,2020,1992-06,Number of deaths,,1
204599,Kenya,Infant deaths,Total,UN IGME estimate,2020,1993-06,Number of deaths,,1
204600,Kenya,Infant deaths,Total,UN IGME estimate,2020,1994-06,Number of deaths,,1
204601,Kenya,Infant deaths,Total,UN IGME estimate,2020,1995-06,Number of deaths,,1
204602,Kenya,Infant deaths,Total,UN IGME estimate,2020,1996-06,Number of deaths,,1
204603,Kenya,Infant deaths,Total,UN IGME estimate,2020,1997-06,Number of deaths,,1
204604,Kenya,Infant deaths,Total,UN IGME estimate,2020,1998-06,Number of deaths,,1
204605,Kenya,Infant deaths,Total,UN IGME estimate,2020,1999-06,Number of deaths,,1
204606,Kenya,Infant deaths,Total,UN IGME estimate,2020,2000-06,Number of deaths,,1
204607,Kenya,Infant deaths,Total,UN IGME estimate,2020,2001-06,Number of deaths,,1
204608,Kenya,Infant deaths,Total,UN IGME estimate,2020,2002-06,Number of deaths,,1
204609,Kenya,Infant deaths,Total,UN IGME estimate,2020,2003-06,Number of deaths,,1
204610,Kenya,Infant deaths,Total,UN IGME estimate,2020,2004-06,Number of deaths,,1
204611,Kenya,Infant deaths,Total,UN IGME estimate,2020,2005-06,Number of deaths,,1
204612,Kenya,Infant deaths,Total,UN IGME estimate,2020,2006-06,Number of deaths,,1
204613,Kenya,Infant deaths,Total,UN IGME estimate,2020,2007-06,Number of deaths,,1
204614,Kenya,Infant deaths,Total,UN IGME estimate,2020,2008-06,Number of deaths,,1
204615,Kenya,Infant deaths,Total,UN IGME estimate,2020,2009-06,Number of deaths,,1
204616,Kenya,Infant deaths,Total,UN IGME estimate,2020,2010-06,Number of deaths,,1
204617,Kenya,Infant deaths,Total,UN IGME estimate,2020,2011-06,Number of deaths,,1
204618,Kenya,Infant deaths,Total,UN IGME estimate,2020,2012-06,Number of deaths,,1
204619,Kenya,Infant deaths,Total,UN IGME estimate,2020,2013-06,Number of deaths,,1
204620,Kenya,Infant deaths,Total,UN IGME estimate,2020,2014-06,Number of deaths,,1
204621,Kenya,Infant deaths,Total,UN IGME estimate,2020,2015-06,Number of deaths,,1
204622,Kenya,Infant deaths,Total,UN IGME estimate,2020,2016-06,Number of deaths,,1
204623,Kenya,Infant deaths,Total,UN IGME estimate,2020,2017-06,Number of deaths,,1
204624,Kenya,Infant deaths,Total,UN IGME estimate,2020,2018-06,Number of deaths,,1
204625,Kenya,Infant deaths,Total,UN IGME estimate,2020,2019-06,Number of deaths,,1
204626,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1957-06,Number of deaths,,1
204627,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1958-06,Number of deaths,,1
204628,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1959-06,Number of deaths,,1
204629,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1960-06,Number of deaths,,1
204630,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1961-06,Number of deaths,,1
204631,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1962-06,Number of deaths,,1
204632,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1963-06,Number of deaths,,1
204633,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1964-06,Number of deaths,,1
204634,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1965-06,Number of deaths,,1
204635,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1966-06,Number of deaths,,1
204636,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1967-06,Number of deaths,,1
204637,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1968-06,Number of deaths,,1
204638,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1969-06,Number of deaths,,1
204639,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1970-06,Number of deaths,,1
204640,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1971-06,Number of deaths,,1
204641,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1972-06,Number of deaths,,1
204642,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1973-06,Number of deaths,,1
204643,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1974-06,Number of deaths,,1
204644,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1975-06,Number of deaths,,1
204645,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1976-06,Number of deaths,,1
204646,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1977-06,Number of deaths,,1
204647,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1978-06,Number of deaths,,1
204648,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1979-06,Number of deaths,,1
204649,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1980-06,Number of deaths,,1
204650,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1981-06,Number of deaths,,1
204651,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1982-06,Number of deaths,,1
204652,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1983-06,Number of deaths,,1
204653,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1984-06,Number of deaths,,1
204654,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1985-06,Number of deaths,,1
204655,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1986-06,Number of deaths,,1
204656,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1987-06,Number of deaths,,1
204657,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1988-06,Number of deaths,,1
204658,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1989-06,Number of deaths,,1
204659,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1990-06,Number of deaths,,1
204660,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1991-06,Number of deaths,,1
204661,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1992-06,Number of deaths,,1
204662,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1993-06,Number of deaths,,1
204663,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1994-06,Number of deaths,,1
204664,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1995-06,Number of deaths,,1
204665,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1996-06,Number of deaths,,1
204666,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1997-06,Number of deaths,,1
204667,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1998-06,Number of deaths,,1
204668,Kenya,Under-five deaths,Female,UN IGME estimate,2020,1999-06,Number of deaths,,1
204669,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2000-06,Number of deaths,,1
204670,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2001-06,Number of deaths,,1
204671,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2002-06,Number of deaths,,1
204672,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2003-06,Number of deaths,,1
204673,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2004-06,Number of deaths,,1
204674,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2005-06,Number of deaths,,1
204675,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2006-06,Number of deaths,,1
204676,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2007-06,Number of deaths,,1
204677,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2008-06,Number of deaths,,1
204678,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2009-06,Number of deaths,,1
204679,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2010-06,Number of deaths,,1
204680,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2011-06,Number of deaths,,1
204681,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2012-06,Number of deaths,,1
204682,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2013-06,Number of deaths,,1
204683,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2014-06,Number of deaths,,1
204684,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2015-06,Number of deaths,,1
204685,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2016-06,Number of deaths,,1
204686,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2017-06,Number of deaths,,1
204687,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2018-06,Number of deaths,,1
204688,Kenya,Under-five deaths,Female,UN IGME estimate,2020,2019-06,Number of deaths,,1
204689,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1957-06,Number of deaths,,1
204690,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1958-06,Number of deaths,,1
204691,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1959-06,Number of deaths,,1
204692,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1960-06,Number of deaths,,1
204693,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1961-06,Number of deaths,,1
204694,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1962-06,Number of deaths,,1
204695,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1963-06,Number of deaths,,1
204696,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1964-06,Number of deaths,,1
204697,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1965-06,Number of deaths,,1
204698,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1966-06,Number of deaths,,1
204699,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1967-06,Number of deaths,,1
204700,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1968-06,Number of deaths,,1
204701,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1969-06,Number of deaths,,1
204702,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1970-06,Number of deaths,,1
204703,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1971-06,Number of deaths,,1
204704,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1972-06,Number of deaths,,1
204705,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1973-06,Number of deaths,,1
204706,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1974-06,Number of deaths,,1
204707,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1975-06,Number of deaths,,1
204708,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1976-06,Number of deaths,,1
204709,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1977-06,Number of deaths,,1
204710,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1978-06,Number of deaths,,1
204711,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1979-06,Number of deaths,,1
204712,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1980-06,Number of deaths,,1
204713,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1981-06,Number of deaths,,1
204714,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1982-06,Number of deaths,,1
204715,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1983-06,Number of deaths,,1
204716,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1984-06,Number of deaths,,1
204717,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1985-06,Number of deaths,,1
204718,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1986-06,Number of deaths,,1
204719,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1987-06,Number of deaths,,1
204720,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1988-06,Number of deaths,,1
204721,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1989-06,Number of deaths,,1
204722,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1990-06,Number of deaths,,1
204723,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1991-06,Number of deaths,,1
204724,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1992-06,Number of deaths,,1
204725,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1993-06,Number of deaths,,1
204726,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1994-06,Number of deaths,,1
204727,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1995-06,Number of deaths,,1
204728,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1996-06,Number of deaths,,1
204729,Kenya,Under-five deaths,Male,UN IGME estimate,2020,1997-06,Number of deaths,,1
